Date,Price,Open,High,Low,Change %
01-11-1996,6.048,6.048,6.048,6.048,-4.62%
01-10-1996,6.341,6.341,6.341,6.341,-5.40%
01-09-1996,6.703,6.703,6.703,6.703,-3.48%
01-08-1996,6.945,6.945,6.945,6.945,2.16%
01-07-1996,6.798,6.798,6.798,6.798,1.22%
01-06-1996,6.716,6.716,6.716,6.716,-1.93%
01-05-1996,6.848,6.848,6.848,6.848,2.53%
01-04-1996,6.679,6.679,6.679,6.679,5.45%
01-03-1996,6.334,6.334,6.334,6.334,3.79%
01-02-1996,6.103,6.103,6.103,6.103,9.45%
01-01-1996,5.576,5.576,5.576,5.576,0.02%
01-12-1995,5.575,5.575,5.575,5.575,-2.96%
01-11-1995,5.745,5.745,5.745,5.745,-4.63%
01-10-1995,6.024,6.024,6.024,6.024,-2.56%
01-09-1995,6.182,6.182,6.182,6.182,-1.65%
01-08-1995,6.286,6.286,6.286,6.286,-2.15%
01-07-1995,6.424,6.424,6.424,6.424,3.50%
01-06-1995,6.207,6.207,6.207,6.207,-1.26%
01-05-1995,6.286,6.286,6.286,6.286,-10.90%
01-04-1995,7.055,7.055,7.055,7.055,-1.99%
01-03-1995,7.198,7.198,7.198,7.198,-0.10%
01-02-1995,7.205,7.205,7.205,7.205,-4.93%
01-01-1995,7.579,7.579,7.579,7.579,-3.22%
01-12-1994,7.831,7.831,7.831,7.831,-0.95%
01-11-1994,7.906,7.906,7.906,7.906,1.20%
01-10-1994,7.812,7.812,7.812,7.812,2.68%
01-09-1994,7.608,7.608,7.608,7.608,5.99%
01-08-1994,7.178,7.178,7.178,7.178,0.91%
01-07-1994,7.113,7.113,7.113,7.113,-2.89%
01-06-1994,7.325,7.325,7.325,7.325,2.42%
01-05-1994,7.152,7.152,7.152,7.152,1.58%
01-04-1994,7.041,7.041,7.041,7.041,4.50%
01-03-1994,6.738,6.738,6.738,6.738,9.86%
01-02-1994,6.133,6.133,6.133,6.133,8.64%
01-01-1994,5.645,5.645,5.645,5.645,-2.45%
01-12-1993,5.787,5.787,5.787,5.787,-0.52%
01-11-1993,5.817,5.817,5.817,5.817,7.32%
01-10-1993,5.42,5.42,5.42,5.42,0.86%
01-09-1993,5.374,5.374,5.374,5.374,-1.32%
01-08-1993,5.446,5.446,5.446,5.446,-6.25%
01-07-1993,5.809,5.809,5.809,5.809,0.54%
01-06-1993,5.778,5.778,5.778,5.778,-5.43%
01-05-1993,6.11,6.11,6.11,6.11,1.68%
01-04-1993,6.009,6.009,6.009,6.009,-0.25%
01-03-1993,6.024,6.024,6.024,6.024,0.18%
01-02-1993,6.013,6.013,6.013,6.013,-5.47%
01-01-1993,6.361,6.361,6.361,6.361,-4.92%
01-12-1992,6.69,6.69,6.69,6.69,-3.44%
01-11-1992,6.928,6.928,6.928,6.928,2.05%
01-10-1992,6.789,6.789,6.789,6.789,6.85%
01-09-1992,6.354,6.354,6.354,6.354,-3.79%
01-08-1992,6.604,6.604,6.604,6.604,-1.37%
01-07-1992,6.696,6.696,6.696,6.696,-5.99%
01-06-1992,7.123,7.123,7.123,7.123,-2.72%
01-05-1992,7.322,7.322,7.322,7.322,-3.44%
01-04-1992,7.583,7.583,7.583,7.583,0.70%
01-03-1992,7.53,7.53,7.53,7.53,3.83%
01-02-1992,7.252,7.252,7.252,7.252,-0.33%
01-01-1992,7.276,7.276,7.276,7.276,8.61%
01-12-1991,6.699,6.699,6.699,6.699,-9.15%
01-11-1991,7.374,7.374,7.374,7.374,-0.65%
01-10-1991,7.422,7.422,7.422,7.422,-0.40%
01-09-1991,7.452,7.452,7.452,7.452,-4.63%
01-08-1991,7.814,7.814,7.814,7.814,-4.20%
01-07-1991,8.157,8.157,8.157,8.157,-0.91%
01-06-1991,8.232,8.232,8.232,8.232,2.12%
01-05-1991,8.061,8.061,8.061,8.061,0.54%
01-04-1991,8.018,8.018,8.018,8.018,-0.57%
01-03-1991,8.064,8.064,8.064,8.064,0.24%
01-02-1991,8.045,8.045,8.045,8.045,0.30%
